proxy,country,region
103.155.168.145:8299,Indonesia,Jawa Barat
160.250.226.118:8090,Indonesia,Central Java
103.169.188.122:8080,Indonesia,East Java
160.20.165.13:6248,Ecuador,Guayas
221.202.27.194:10811,China,Liaoning
203.81.81.226:8055,Myanmar [Burma],Yangon
223.205.115.43:8080,Thailand,Phra Nakhon Si Ayutthaya Province
124.105.36.193:8082,Philippines,Metro Manila
180.191.20.10:8081,Philippines,Metro Manila
213.230.110.191:3128,Uzbekistan,Yunusabad district
176.117.106.126:8080,Turkey,Kilis
36.89.251.14:8080,Indonesia,Jawa Barat
145.40.68.148:10093,Netherlands,North Holland
103.51.205.117:8090,Indonesia,Central Java
190.110.35.230:999,Dominican Republic,Santiago
192.145.228.226:8083,Indonesia,Lampung
190.12.150.244:999,Ecuador,Pichincha
58.137.174.101:8080,Thailand,Bangkok
165.227.169.229:3080,Germany,Baden-Württemberg
123.112.211.191:9000,China,Beijing
179.49.237.12:999,Chile,Santiago Metropolitan Region
150.230.104.3:16728,Japan,Chiba Prefecture
103.144.102.245:8080,Indonesia,Jawa Barat
109.224.242.26:8080,Turkey,Mediterranean Region
222.127.55.149:8082,Philippines,Southern Leyte
180.191.52.179:8082,Philippines,Pampanga
49.146.235.67:8080,Philippines,Romblon
38.156.72.51:8080,Turkey,İstanbul
103.171.255.204:8080,Indonesia,Special Region of Yogyakarta
163.5.128.116:14270,United States,New York
160.187.221.74:8080,Philippines,North Cotabato
67.43.228.250:26321,Thailand,Phuket Province
151.242.164.72:20001,United States,Utah
38.187.22.229:8080,Peru,Arequipa
103.39.70.68:1452,Indonesia,Central Java
182.16.171.65:43188,Indonesia,Special Capital Region of Jakarta
40.177.212.16:197,Luxembourg,Canton Mersch
72.10.160.174:27061,Nepal,Gandaki Pradesh
187.189.237.248:999,Mexico,Tlaxcala
113.192.31.79:8080,Indonesia,Jawa Barat
36.66.242.118:8080,Indonesia,Special Capital Region of Jakarta
190.93.179.125:999,Paraguay,Alto Paraná
124.105.69.124:8081,Philippines,Metro Manila
117.159.239.54:22222,China,Henan
163.5.128.211:14270,United States,New York
190.93.189.142:999,Dominican Republic,Santiago
103.171.161.96:9090,Indonesia,Special Capital Region of Jakarta
103.171.255.59:8080,Indonesia,Special Region of Yogyakarta
223.113.134.106:22222,China,Jiangsu
103.155.167.82:8082,Indonesia,Jawa Barat
149.86.151.151:8080,Turkey,Konya
197.164.101.12:1976,Egypt,Cairo
38.7.195.50:999,Chile,Santiago Metropolitan Region
177.200.239.141:999,Dominican Republic,Santiago
41.93.63.66:8080,Tanzania,Coastal Zone
103.39.70.5:8181,Indonesia,Central Java
103.156.14.227:8080,Indonesia,South Sumatra
103.72.89.33:8097,Indonesia,East Java
181.209.122.114:999,Argentina,Salta
119.93.14.61:8082,Philippines,Metro Manila
157.15.144.82:8080,Indonesia,Central Java
103.126.174.187:8080,Indonesia,Lampung
152.53.136.194:10230,United States,Indiana
36.136.27.2:4999,China,Guangdong Province
209.38.54.154:8443,Netherlands,North Holland
115.231.181.40:8128,China,Zhejiang
212.34.137.97:33905,Netherlands,North Holland
45.174.176.161:8088,Brazil,Piauí
103.156.96.30:8088,Indonesia,South Sulawesi
181.79.81.104:8080,Colombia,Bogota
103.217.213.124:32650,India,Andhra Pradesh
200.24.130.144:999,Ecuador,Los Ríos
179.61.98.3:999,Chile,Maule Region
58.187.104.67:2113,Vietnam,Nam Dinh province
36.95.17.15:80,Indonesia,South Sulawesi
27.50.29.166:8085,Indonesia,Jawa Barat
203.76.220.126:16464,Bangladesh,Rajshahi Division
170.239.205.197:999,Colombia,Bogota
5.102.109.41:999,Mexico,Querétaro
217.138.241.122:8080,United Kingdom,England
200.215.229.14:999,Peru,Cusco
145.40.68.148:10080,Netherlands,North Holland
190.110.35.228:999,Dominican Republic,Santiago
103.115.197.142:3127,Pakistan,Punjab
177.234.217.46:999,Ecuador,Pichincha
115.114.77.133:9090,India,Delhi
187.251.224.167:80,Mexico,Guanajuato
176.236.227.98:8080,Turkey,İstanbul
102.209.79.230:8080,Kenya,Nairobi
103.76.108.14:8080,Indonesia,East Java
101.47.73.135:3128,Hong Kong,Hong Kong
45.174.243.20:999,Mexico,Campeche
103.238.232.34:1111,Indonesia,Jawa Barat
103.81.115.210:8080,Myanmar [Burma],Yangon
62.133.62.12:1081,France,Île-de-France
173.224.122.240:3128,United States,Missouri
59.46.216.131:30001,China,Liaoning
103.166.255.170:8080,Indonesia,South Sumatra
103.172.120.148:8989,Indonesia,Central Java
103.172.42.175:8082,Indonesia,Jawa Barat
152.53.136.194:10000,United States,California
103.67.84.17:2022,Indonesia,East Java
45.189.108.20:999,Peru,Lima
157.15.190.32:8080,Myanmar [Burma],Mandalay
190.94.212.228:999,Venezuela,Capital District
103.22.173.77:1111,India,Telangana
113.11.127.179:64300,Bangladesh,Dhaka Division
59.153.17.46:20909,Bangladesh,Barisal Division
113.11.2.104:8080,Bangladesh,Chattogram Division
202.5.34.54:30126,Bangladesh,Dhaka Division
202.5.53.145:9355,Bangladesh,Chattogram Division
115.178.49.143:8080,Indonesia,Jawa Barat
139.28.48.39:8080,Syria,Damascus Governorate
157.20.253.194:1111,Indonesia,Central Java
103.153.62.155:8080,Indonesia,Java
212.108.115.112:8080,Turkey,Mediterranean Region
103.160.202.174:8080,Indonesia,East Java
124.106.83.244:8083,Philippines,Davao Region
157.20.244.242:8080,Indonesia,Central Java
103.166.159.115:8181,Indonesia,Banten
103.156.96.240:8088,Indonesia,South Sulawesi
103.228.246.199:1111,Indonesia,East Java
8.137.112.117:3128,China,Sichuan
43.225.185.4:8000,Indonesia,Special Capital Region of Jakarta
207.246.234.115:4669,United States,New Mexico
103.231.236.227:8182,Indonesia,Central Java
165.16.46.215:8080,Libya,Tripoli
45.178.244.213:999,Argentina,Mendoza
190.83.15.241:999,Ecuador,Guayas
38.191.161.178:999,Dominican Republic,Distrito Nacional
114.9.25.74:8080,Indonesia,South Sumatra
61.9.34.118:1,Philippines,Metro Manila
103.174.236.88:8080,Indonesia,Central Java
222.127.171.128:8082,Philippines,Western Visayas
181.78.49.177:999,Guatemala,Guatemala Department
149.104.105.114:3128,Saudi Arabia,Riyadh Region
185.4.29.243:7887,Iran,Tehran Province
157.20.143.211:8085,Philippines,Metro Manila
112.109.20.106:6060,Indonesia,Central Java
202.140.62.212:8080,India,Karnataka
190.109.6.113:999,Colombia,Cundinamarca
186.96.67.40:999,Venezuela,Capital District
177.234.194.30:999,Ecuador,Guayas
190.7.138.78:8080,Colombia,Antioquia
177.234.194.31:999,Ecuador,Guayas
202.47.188.193:7777,Indonesia,East Java
20.83.26.240:3128,United States,Iowa
67.43.228.252:16373,Nepal,Bagmati Pradesh
43.250.9.46:10088,Hong Kong,Hong Kong
107.155.65.87:13428,Singapore,Southeast
188.116.37.3:8090,Poland,Pomeranian Voivodeship
103.134.246.42:3172,Indonesia,Bali
193.47.60.119:52681,Finland,Mainland Finland
138.117.85.217:999,Colombia,Huila
103.204.129.42:3128,Netherlands,North Holland
46.252.35.91:8080,Albania,Central Albania
45.180.140.241:8080,Ecuador,Los Ríos
94.102.193.91:8080,Ireland,Leinster
212.110.188.192:34408,United Kingdom,England
103.52.114.95:3128,Indonesia,Jawa Barat
101.255.158.173:1111,Indonesia,Special Capital Region of Jakarta
